Total number of words is: 53
day  7     13,207547%
name 4     7,547170%
time 4     7,547170%
you  4     7,547170%
hello 3     5,660377%
a    2     3,773585%
are  2     3,773585%
how  2     3,773585%
is   2     3,773585%
sun  2     3,773585%
all  1     1,886792%
bye  1     1,886792%
file 1     1,886792%
good 1     1,886792%
have 1     1,886792%
hey  1     1,886792%
low  1     1,886792%
many 1     1,886792%
my   1     1,886792%
nice 1     1,886792%
once 1     1,886792%
say  1     1,886792%
solar 1     1,886792%
sunshine 1     1,886792%
text 1     1,886792%
this 1     1,886792%
tree 1     1,886792%
upon 1     1,886792%
words 1     1,886792%
world 1     1,886792%
your 1     1,886792%
